beta,network,variant,S,eps_hat,eps_tilde,Z0_insample,oos_mean,oos_geomean,oos_std,oos_p95,var_outer,var_inner,follower_share
0.8,grid_5x5,true_dro,20,0.49,0.49,9.250108,6.282207,6.282175,0.019928,6.318572,3.97e-04,3.65e-01,0.0011
0.8,grid_5x5,nominal,20,0.00,0.00,5.985950,5.977496,5.977406,0.032714,6.018230,1.07e-03,3.71e-01,0.0029
0.8,grid_5x5,single_layer,20,0.49,0.00,9.250108,6.282352,6.282323,0.019460,6.318572,3.79e-04,3.65e-01,0.0010
0.8,polska,true_dro,20,0.49,0.49,3.136997,3.137000,3.137000,0.000000,3.137000,1.99e-31,2.12e-30,0.0860
0.8,polska,nominal,20,0.00,0.00,3.137000,3.137000,3.137000,0.000000,3.137000,1.99e-31,2.12e-30,0.0860
0.8,polska,single_layer,20,0.49,0.00,3.137000,3.137000,3.137000,0.000000,3.137000,1.99e-31,2.12e-30,0.0860
0.8,abilene,true_dro,20,0.49,0.49,2.410398,2.304512,2.304510,0.002532,2.308893,6.41e-06,6.27e-03,0.0010
0.8,abilene,nominal,20,0.00,0.00,2.304864,2.304512,2.304510,0.002532,2.308893,6.41e-06,6.27e-03,0.0010
0.8,abilene,single_layer,20,0.49,0.00,2.410398,2.304512,2.304510,0.002532,2.308893,6.41e-06,6.27e-03,0.0010
0.8,nobel_us,true_dro,20,0.49,0.49,3.187078,2.371589,2.371413,0.028735,2.394311,8.26e-04,1.62e-02,0.0484
0.8,nobel_us,nominal,20,0.00,0.00,2.392338,2.371589,2.371413,0.028735,2.394311,8.26e-04,1.62e-02,0.0484
0.8,nobel_us,single_layer,20,0.49,0.00,2.893254,2.371589,2.371413,0.028735,2.394311,8.26e-04,1.62e-02,0.0484
0.8,sioux_falls,true_dro,20,0.49,0.49,9.058556,5.212408,5.212385,0.015734,5.239399,2.48e-04,2.38e-01,0.0010
0.8,sioux_falls,nominal,20,0.00,0.00,5.210565,5.212408,5.212385,0.015734,5.239399,2.48e-04,2.38e-01,0.0010
0.8,sioux_falls,single_layer,20,0.49,0.00,9.058556,5.212408,5.212385,0.015734,5.239399,2.48e-04,2.38e-01,0.0010
