S,cov_80,cov_85,cov_90,cov_95
10,0.62764363,0.64671248,0.66962977,0.70495805
20,0.61846804,0.63226947,0.64933057,0.67359604
30,0.61360716,0.62437619,0.63852144,0.65904476
50,0.60650365,0.61501266,0.62572430,0.64205173
100,0.59860682,0.60471258,0.61254504,0.62364046
