S,cov_80,cov_85,cov_90,cov_95
10,0.79140218,0.79954720,0.83325686,0.86786119
20,0.79349391,0.80723340,0.82280861,0.84391252
30,0.79064474,0.80132873,0.81455224,0.83393299
50,0.78491940,0.79325174,0.80361422,0.81871853
100,0.77809108,0.78407959,0.79154036,0.80246431
