S,cov_80,cov_85,cov_90,cov_95
10,0.45039391,0.46721264,0.48874651,0.52033968
20,0.44090100,0.45258073,0.46778687,0.48977593
30,0.43616045,0.44577694,0.45777582,0.47558961
50,0.43013900,0.43746502,0.44667406,0.46044036
100,0.42314894,0.42825135,0.43459923,0.44420394
